Comp,Att,Pct,Yds,TD,Int,Class
21.0,31.0,67.7,240.0,2.0,1.0,Over
22.0,36.0,61.1,245.0,0.0,1.0,Under
20.0,26.0,76.9,286.0,2.0,0.0,Over
16.0,31.0,51.6,169.0,1.0,0.0,Under
18.0,27.0,66.7,166.0,1.0,1.0,Under
17.0,25.0,68.0,296.0,3.0,1.0,Over
23.0,32.0,71.9,277.0,1.0,2.0,Under
20.0,29.0,69.0,181.0,2.0,0.0,Under
24.0,33.0,72.7,243.0,0.0,1.0,Under
12.0,21.0,57.1,151.0,0.0,1.0,Under
18.0,22.0,81.8,175.0,2.0,1.0,Over
28.0,37.0,75.7,317.0,4.0,0.0,Over
24.0,46.0,52.2,248.0,1.0,1.0,Over
34.0,45.0,75.6,424.0,4.0,2.0,Over
14.0,20.0,70.0,253.0,2.0,0.0,Under
15.0,21.0,71.4,165.0,1.0,0.0,Under
26.0,35.0,74.3,349.0,4.0,1.0,Over
22.0,34.0,64.7,200.0,1.0,0.0,Over
16.0,27.0,59.3,248.0,1.0,2.0,Over
20.0,36.0,55.6,194.0,1.0,3.0,Under
16.0,25.0,64.0,208.0,1.0,0.0,Under
23.0,37.0,62.2,380.0,3.0,1.0,Over
28.0,41.0,68.3,385.0,4.0,1.0,Over
15.0,27.0,55.6,204.0,2.0,0.0,Over
30.0,54.0,55.6,400.0,1.0,5.0,Over
21.0,43.0,48.8,301.0,2.0,2.0,Over
29.0,44.0,65.9,335.0,2.0,0.0,Over
30.0,48.0,62.5,358.0,1.0,2.0,Over
30.0,51.0,58.8,313.0,2.0,4.0,Over
18.0,28.0,64.3,313.0,3.0,2.0,Over
21.0,33.0,63.6,268.0,0.0,0.0,Under
33.0,45.0,73.3,456.0,4.0,3.0,Over
28.0,42.0,66.7,458.0,4.0,1.0,Over
25.0,48.0,52.1,335.0,1.0,4.0,Under
14.0,24.0,58.3,248.0,3.0,0.0,Over
19.0,28.0,67.9,154.0,1.0,0.0,Under
23.0,40.0,57.5,304.0,0.0,0.0,Under
18.0,27.0,66.7,227.0,3.0,0.0,Under
13.0,22.0,59.1,183.0,0.0,0.0,Under
20.0,34.0,58.8,207.0,0.0,1.0,Under
23.0,29.0,79.3,312.0,2.0,1.0,Over
21.0,33.0,63.6,193.0,3.0,0.0,Over
27.0,39.0,69.2,331.0,1.0,2.0,Over
13.0,19.0,68.4,181.0,2.0,0.0,Over
14.0,18.0,77.8,259.0,2.0,0.0,Over
17.0,22.0,77.3,182.0,2.0,0.0,Over
21.0,27.0,77.8,391.0,3.0,1.0,Over
22.0,36.0,61.1,279.0,2.0,1.0,Under
17.0,27.0,63.0,272.0,3.0,0.0,Over
30.0,44.0,68.2,380.0,3.0,0.0,Over
26.0,37.0,70.3,221.0,2.0,0.0,Over
30.0,43.0,69.8,332.0,2.0,3.0,Over
6.0,11.0,54.5,37.0,0.0,1.0,Under
13.0,25.0,52.0,166.0,2.0,0.0,Under
9.0,12.0,75.0,77.0,0.0,0.0,Under
12.0,16.0,75.0,130.0,0.0,0.0,Under
16.0,22.0,72.7,158.0,1.0,0.0,Over
